City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,castillos,-34.1667,-53.8333,292.41,88,41,4.0,UY,1682369403
258,santiago de cao,-7.9589,-79.2392,299.22,69,97,5.66,PE,1682369403
259,usinsk,65.9939,57.5281,269.64,93,100,2.65,RU,1682369404
260,atafu village,-8.5421,-172.5159,302.33,72,100,4.88,TK,1682369404
261,sinop,41.7711,34.8709,278.46,90,4,3.29,TR,1682369405
262,mar del plata,-38.0023,-57.5575,292.09,91,100,4.12,AR,1682369405
263,polyarnyy,69.1989,33.4478,266.05,82,7,4.27,RU,1682369405
264,los alamos,35.8881,-106.307,291.0,26,75,7.2,US,1682369406
265,pontes e lacerda,-15.2261,-59.3353,298.04,92,14,1.69,BR,1682369406
266,amga,60.8953,131.9608,269.82,95,100,2.45,RU,1682369406
267,anisoc,1.8658,10.7689,294.89,99,73,1.0,GQ,1682369407
268,north platte,41.1239,-100.7654,294.09,28,40,7.2,US,1682369407
269,wanning,18.8003,110.3967,298.42,90,52,2.31,CN,1682369408
270,tralee,52.2704,-9.7026,277.62,80,13,2.62,IE,1682369408
271,byron bay,-28.65,153.6167,288.54,69,100,5.85,AU,1682368896
272,tual,-5.6667,132.75,301.33,73,18,1.39,ID,1682369409
273,qamdo,31.1667,97.2333,269.16,32,61,1.79,CN,1682369409
274,san juan de miraflores,-12.1629,-76.9635,298.44,75,28,5.17,PE,1682369410
275,punta gorda,26.9298,-82.0454,303.25,63,40,5.66,US,1682369410
276,kapa'a,22.0752,-159.319,299.14,83,0,3.09,US,1682369411
277,mugia,43.1041,-9.2179,289.35,92,100,5.23,ES,1682369411
278,roma,43.2128,-75.4557,284.11,69,40,5.66,US,1682369163
279,san agustin de valle fertil,-30.6335,-67.4682,293.49,48,34,5.5,AR,1682369412
280,kurtamysh,54.9103,64.4319,284.07,62,78,3.19,RU,1682369412
281,east london,-33.0153,27.9116,294.35,87,100,3.31,ZA,1682369413
282,gornozavodsk,58.3758,58.3211,279.49,87,28,2.34,RU,1682369413
283,fort bragg,35.139,-79.006,293.4,37,0,3.09,US,1682369413
284,mili,6.0815,171.735,301.2,81,97,8.89,MH,1682369414
285,wanxian,30.8039,108.3897,283.51,94,100,0.51,CN,1682369414
286,st. john's,47.5649,-52.7093,276.36,95,100,8.23,CA,1682369284
287,caluula,11.9661,50.7569,301.49,61,41,3.78,SO,1682369415
288,ar ruways,24.1103,52.7306,300.36,51,27,1.9,AE,1682369415
289,surovikino,48.6078,42.8486,285.51,86,100,5.7,RU,1682369415
290,aktau,43.65,51.2,298.47,25,100,14.53,KZ,1682369416
291,obock,12.25,43.0833,296.83,75,66,5.22,DJ,1682369416
292,anshan,41.1236,122.99,284.3,37,100,5.26,CN,1682369417
293,shimoda,34.6667,138.95,283.76,72,60,5.69,JP,1682369417
294,kenai,60.5544,-151.2583,274.2,59,0,4.63,US,1682369418
295,phalodi,27.1333,72.3667,300.76,17,97,3.45,IN,1682369418
296,kulhudhuffushi,6.6221,73.07,302.17,67,100,1.64,MV,1682369418
297,ocean city,39.2776,-74.5746,289.25,47,32,0.45,US,1682369419
298,bandon,51.7469,-8.7425,279.92,89,14,2.86,IE,1682369419
299,falmouth,50.1544,-5.0711,281.85,80,40,2.24,GB,1682369420
300,ipswich,52.0592,1.1555,280.38,75,75,3.6,GB,1682369421
301,ayr,55.4627,-4.6339,279.54,75,78,2.55,GB,1682369421
302,malvan,16.0667,73.4667,298.42,82,5,3.14,IN,1682369421
303,pahrump,36.2083,-115.9839,301.45,12,0,2.24,US,1682369422
304,emerald,-23.5333,148.1667,288.34,86,0,6.99,AU,1682369422
305,berdigestyakh,62.0989,126.6992,268.78,94,100,4.52,RU,1682369423
306,ouadda,8.0777,22.4007,295.07,75,92,1.46,CF,1682369423
307,afif,23.9065,42.9172,295.73,43,4,5.31,SA,1682369423
308,lavington,-36.05,146.9333,285.22,100,0,0.45,AU,1682369424
309,anna regina,7.2644,-58.5077,300.05,79,65,3.7,GY,1682369424
310,barranca,-10.75,-77.7667,298.59,71,77,5.78,PE,1682369425
311,shklow,54.2108,30.2919,282.84,73,11,3.33,BY,1682369425
312,codrington,-38.2667,141.9667,287.29,77,10,4.5,AU,1682369425
313,lionel town,17.8101,-77.2406,301.82,59,36,3.09,JM,1682369426
314,popondetta,-8.7537,148.2534,297.19,91,66,0.95,PG,1682369426
315,bogale,16.2833,95.4,301.03,77,5,3.03,MM,1682369427
316,tulun,54.5611,100.5792,275.89,58,100,2.14,RU,1682369427
317,inirida,3.8653,-67.9239,298.53,86,100,1.46,CO,1682369427
318,gizo,-8.103,156.8419,300.56,78,83,1.44,SB,1682369428
319,de aar,-30.6497,24.0123,288.98,22,37,2.71,ZA,1682369428
320,revelstoke,50.9832,-118.2023,286.16,54,100,1.54,CA,1682369429
321,acapulco de juarez,16.8634,-99.8901,304.05,58,0,3.09,MX,1682369221
322,lazaro cardenas,17.9583,-102.2,302.07,56,25,5.0,MX,1682369208
323,salinas,36.6777,-121.6555,298.7,61,0,6.69,US,1682369430
